63	1	231
113	1	232
96	3	235
18	2	238
132	3	232
34	2	232
43	3	230
184	1	234
58	3	238
79	3	236
54	1	234
3	2	235
11	2	236
85	1	237
63	1	232
6	1	231
67	3	236
157	1	236
41	1	236
14	1	238
15	3	238
181	3	238
168	0	237
3	1	238
113	1	237
177	3	237
16	1	238
34	2	233
33	1	229
132	3	237
81	3	237
51	1	234
84	2	235
103	1	233
103	1	237
6	1	232
20	2	233
63	1	233
20	2	237
90	1	235
76	2	235
105	3	237
41	2	232
26	1	231
44	0	238
30	3	232
17	1	230
81	1	235
140	0	234
184	2	237
50	1	229
139	1	234
132	3	236
20	1	230
81	3	236
6	1	233
1	0	230
75	2	235
131	3	237
6	1	237
21	2	234
27	3	238
7	3	229
152	1	233
34	3	230
152	1	237
48	1	234
52	1	238
0	2	234
83	1	234
14	2	230
41	2	233
107	2	234
30	3	233
75	1	238
19	1	231
5	1	229
23	2	232
150	3	235
20	2	236
121	1	237
51	2	237
102	3	234
4	1	232
160	3	237
0	1	234
147	2	238
86	3	234
11	2	230
98	1	229
91	1	232
111	3	235
199	3	229
23	1	232
63	0	238
26	1	233
151	1	238
19	1	232
65	1	232
26	1	237
148	1	229
191	1	232
38	1	231
131	3	236
6	1	236
23	2	233
23	2	237
28	3	231
29	0	237
7	2	231
22	1	236
4	1	233
27	0	235
24	3	231
44	1	235
201	3	233
133	3	238
22	0	236
89	1	236
91	1	233
51	2	236
158	3	233
184	1	238
44	3	236
23	1	233
48	2	237
115	1	229
19	1	233
54	1	238
23	1	237
35	1	229
19	1	237
65	1	237
28	3	232
30	1	234
7	2	232
2	3	235
197	2	236
18	2	231
6	2	232
117	3	233
24	3	232
26	1	236
117	3	237
18	1	235
58	3	231
170	3	235
80	1	237
71	3	236
39	0	238
17	2	235
100	2	237
28	3	233
9	0	238
75	3	229
85	3	235
15	3	231
14	1	231
28	3	237
18	2	232
7	2	233
7	2	237
49	1	229
6	2	233
16	1	231
24	3	233
24	3	237
65	1	236
64	3	235
125	3	234
58	3	232
73	2	230
47	2	234
132	2	234
158	1	234
11	1	231
15	3	232
14	1	232
110	3	235
13	2	235
3	3	231
18	2	233
166	3	238
21	2	238
63	3	235
128	2	237
0	2	238
8	1	236
38	1	236
22	1	230
100	3	234
191	3	236
117	1	234
100	2	236
58	3	233
78	0	237
107	2	238
50	1	230
151	2	238
36	1	231
11	1	232
55	2	235
15	3	233
14	1	233
3	3	232
0	0	229
22	3	234
84	3	231
15	3	237
0	1	238
52	1	231
50	3	234
152	3	235
77	0	236
12	1	237
24	1	234
76	3	231
36	1	232
37	1	230
30	2	236
43	1	229
7	1	238
11	1	233
11	1	237
18	3	230
9	3	236
3	3	233
7	0	238
3	3	237
52	1	232
172	1	233
151	1	231
39	3	235
37	3	234
52	2	233
76	3	232
36	1	233
146	3	233
36	1	237
58	1	234
30	1	238
73	1	231
4	3	235
21	0	236
12	1	236
84	3	237
58	0	234
151	1	232
15	1	234
181	1	234
35	1	230
1	3	235
99	1	234
134	3	234
66	0	238
76	3	233
19	3	235
8	1	230
76	3	237
35	3	234
126	1	236
21	3	229
155	1	237
8	3	234
151	1	233
103	3	238
54	1	232
0	3	229
36	1	236
151	1	237
22	2	235
80	3	235
107	3	229
50	2	235
84	3	236
93	1	229
34	1	229
49	1	230
29	1	229
182	2	237
30	2	230
66	3	237
51	1	232
36	0	235
24	2	236
200	1	234
151	3	237
5	2	235
47	3	235
49	3	234
27	1	234
54	1	233
140	0	231
27	2	231
108	3	238
6	3	238
82	3	234
67	1	229
3	2	229
21	2	231
22	3	238
48	1	231
0	2	231
83	1	231
97	3	236
2	0	231
89	3	238
107	2	231
66	1	235
51	1	233
12	1	230
140	0	232
27	2	232
32	1	236
42	1	235
25	2	238
58	2	236
154	1	232
66	3	236
168	1	230
73	1	236
21	2	232
151	0	235
151	3	236
14	3	235
164	0	237
0	2	232
12	3	234
15	2	236
29	3	238
74	3	234
4	2	234
2	0	232
16	3	235
107	2	232
13	3	231
110	0	234
41	3	235
168	3	234
95	1	234
76	2	229
133	1	234
35	2	235
140	0	233
27	2	233
6	0	235
96	3	236
27	2	237
58	1	238
19	2	234
154	1	233
8	2	235
0	1	232
11	3	235
21	2	233
21	2	237
58	0	238
55	3	231
0	2	233
126	3	234
76	1	229
0	2	237
2	0	233
94	3	235
70	3	237
107	2	233
2	0	237
134	3	238
119	2	237
107	2	237
30	1	231
24	2	230
102	3	237
49	2	235
0	1	233
35	3	238
110	2	238
63	2	238
31	2	235
27	2	236
8	3	238
13	3	233
196	2	236
13	3	237
194	3	238
105	1	237
30	1	232
56	1	230
133	2	237
163	1	238
32	1	230
21	3	230
127	1	231
2	0	236
46	0	234
201	0	230
0	3	230
115	0	236
55	3	233
81	1	236
55	3	237
107	3	230
61	3	237
44	1	229
27	1	238
49	3	238
93	1	230
34	1	230
47	2	231
15	2	230
45	2	237
81	0	236
17	1	234
32	3	234
4	0	234
30	1	233
82	3	238
30	1	237
20	3	235
20	1	234
35	0	235
13	3	236
34	3	234
93	3	234
14	2	234
100	3	231
119	1	238
117	1	231
202	3	238
133	2	236
47	2	232
25	3	237
184	3	235
39	2	238
18	1	229
54	3	235
3	2	230
150	2	232
46	2	238
64	0	238
42	0	237
79	3	234
55	3	236
107	0	237
153	1	237
50	3	231
28	1	231
127	1	237
11	2	234
12	3	238
100	3	232
164	3	236
89	3	231
4	2	238
67	3	234
157	1	234
41	1	234
24	1	231
95	1	238
26	3	235
133	1	238
47	2	233
51	3	235
1	2	238
47	2	237
33	3	237
25	1	235
5	3	231
22	3	232
36	2	234
50	3	232
25	3	236
2	1	235
90	1	230
192	1	237
39	1	231
13	2	229
100	3	233
117	1	233
24	1	232
100	3	237
5	0	238
107	0	236
2	3	236
122	3	237
81	1	230
148	3	231
62	3	237
88	3	235
154	3	235
22	3	233
76	1	230
163	2	238
32	2	235
28	1	233
50	3	233
15	1	231
37	3	232
50	3	237
28	1	237
47	2	236
89	3	233
81	3	234
33	3	236
48	3	235
24	1	233
17	2	236
24	1	237
157	2	237
58	1	232
34	2	235
161	2	238
9	1	229
35	3	231
64	3	236
5	3	237
20	2	234
143	3	235
15	1	232
110	1	235
32	0	237
131	1	230
56	3	238
79	2	235
47	1	238
39	1	237
63	1	235
62	3	236
110	3	236
116	1	233
32	3	238
17	1	238
3	0	231
184	2	234
98	3	237
140	1	229
58	1	233
50	3	236
28	1	236
58	1	237
35	3	232
73	3	238
148	3	237
47	0	237
6	1	234
58	0	233
27	0	230
85	2	237
63	2	232
198	0	238
58	0	237
79	1	235
44	1	230
8	3	232
14	2	238
93	3	238
15	1	233
187	3	238
157	2	236
22	1	234
15	1	237
113	2	233
186	1	238
49	3	231
4	3	229
16	2	238
25	3	230
46	3	237
3	0	232
5	3	236
152	1	235
22	0	234
161	3	234
120	3	238
163	1	232
51	2	234
44	3	234
41	2	235
79	3	238
30	3	235
103	2	237
115	3	237
160	3	234
35	3	233
19	3	229
39	1	236
35	3	237
189	0	236
148	1	235
63	2	233
114	3	237
18	1	230
8	3	233
31	0	238
49	3	232
41	1	238
99	3	233
157	1	238
90	2	235
196	1	232
26	1	234
135	3	236
148	3	236
94	2	238
153	3	234
29	2	231
47	0	236
3	0	233
163	1	233
46	1	235
50	2	229
46	3	236
110	0	231
39	2	232
4	1	235
49	3	233
152	2	237
49	3	237
103	2	236
115	3	236
1	1	235
19	2	231
5	2	229
91	1	235
47	3	229
31	3	237
110	3	230
163	3	237
204	1	233
12	3	232
99	3	236
1	3	236
124	3	236
4	2	232
63	3	230
110	0	232
95	1	232
81	3	238
35	1	234
76	0	237
133	1	232
21	1	229
8	1	234
19	2	232
103	1	238
26	2	237
65	2	232
29	2	237
100	2	234
42	1	229
107	1	229
84	1	236
20	2	238
12	3	233
22	2	236
4	2	233
74	3	237
110	0	233
44	2	235
14	3	229
31	3	236
95	1	237
163	3	236
6	2	235
24	3	235
9	1	230
19	2	233
49	1	234
19	2	237
65	2	237
76	0	236
6	1	238
30	2	234
190	0	236
82	1	234
43	3	237
128	2	234
56	3	231
11	3	229
22	1	238
9	3	234
26	2	236
39	3	230
29	2	236
18	2	235
32	3	231
17	1	231
20	0	230
46	3	230
22	0	238
121	1	238
51	2	238
80	2	237
10	3	238
44	3	238
20	1	231
1	0	231
58	3	235
46	0	232
38	2	237
66	1	236
34	3	231
75	0	238
4	3	230
14	2	231
33	2	230
49	2	229
14	1	235
32	3	232
21	0	234
1	3	230
4	0	232
12	1	234
17	1	232
3	1	235
65	2	236
26	1	238
16	1	235
153	3	238
151	0	236
23	2	238
79	3	231
20	1	232
1	0	232
29	0	238
43	3	236
34	3	232
11	2	231
46	0	233
14	2	232
6	0	236
57	0	230
56	3	237
83	2	238
8	2	236
17	1	233
38	2	236
32	3	233
4	0	233
141	0	236
17	1	237
65	1	238
179	3	233
4	0	237
79	3	232
44	0	235
50	2	230
20	1	233
1	0	233
11	2	232
102	1	233
102	1	237
34	3	233
67	3	232
23	0	237
14	2	233
41	1	232
34	3	237
62	1	230
93	3	237
157	1	232
187	3	237
47	3	230
27	3	235
52	1	235
196	3	235
8	1	238
38	1	238
60	3	236
12	2	237
24	2	234
90	3	231
13	1	237
36	2	232
75	1	235
28	3	238
79	3	237
8	0	238
7	2	238
11	2	233
11	2	237
41	1	233
119	3	235
67	3	237
176	3	238
29	1	235
90	3	232
151	1	235
34	3	236
51	3	229
32	1	234
36	2	237
30	2	238
14	3	230
66	3	234
82	1	238
81	3	232
73	1	234
73	2	231
9	3	238
12	2	236
151	3	234
13	1	236
41	3	230
78	0	238
101	1	238
2	1	229
15	2	234
20	3	236
103	1	232
133	3	235
53	1	230
28	0	235
90	3	233
184	1	235
90	3	237
8	2	230
120	1	234
96	3	234
22	1	231
81	3	233
53	3	234
50	1	231
12	1	238
51	2	231
167	3	238
44	3	231
131	3	232
51	1	235
11	1	238
158	2	238
33	1	237
49	2	230
22	1	232
173	3	232
92	3	235
25	1	236
73	2	237
110	1	229
89	1	232
52	2	238
90	3	236
37	1	231
51	2	232
100	1	233
100	1	237
44	3	232
27	2	234
63	1	229
36	1	238
2	1	236
18	3	231
84	3	238
22	1	233
23	3	236
14	0	236
172	3	238
26	1	232
22	1	237
2	0	234
79	1	229
37	1	232
50	1	237
78	3	236
22	0	233
89	1	233
139	3	236
161	3	233
81	1	234
66	2	235
22	0	237
0	2	235
76	3	238
51	2	233
87	1	229
32	2	236
18	3	232
13	1	230
71	3	232
44	3	233
44	3	237
7	3	237
20	3	230
151	2	235
76	1	234
73	2	236
30	3	229
35	1	231
5	1	237
100	1	236
0	1	235
143	1	235
13	3	234
8	1	231
96	2	235
185	2	236
188	1	237
37	1	233
100	2	231
18	3	233
32	1	238
164	1	230
18	3	237
66	3	238
50	1	236
123	3	231
7	1	235
35	1	232
73	1	238
131	1	234
183	1	232
96	1	235
157	3	235
151	3	238
75	3	231
7	0	235
7	3	236
8	1	232
51	3	230
49	1	231
4	1	229
194	1	232
25	1	230
5	1	236
30	2	231
1	1	229
27	0	234
91	1	229
44	1	234
23	1	229
2	1	230
35	1	233
101	1	231
35	1	237
75	3	232
25	3	234
118	2	234
114	1	237
18	3	236
8	1	233
38	1	233
49	1	232
165	1	238
8	1	237
149	3	233
107	0	234
2	3	234
30	2	232
130	1	235
82	1	232
8	0	237
140	3	231
159	3	236
80	1	229
130	3	236
162	3	233
12	1	231
52	3	237
74	1	231
81	2	236
75	3	233
75	3	237
64	1	230
33	3	234
27	2	238
182	3	231
169	1	238
49	1	233
103	3	235
17	2	234
49	1	237
147	3	232
6	2	229
115	1	236
24	3	229
173	2	237
196	2	238
140	3	232
35	1	236
30	2	233
30	2	237
110	1	230
21	0	232
12	1	232
64	3	234
119	2	238
115	0	238
193	1	229
62	3	234
110	3	234
7	3	230
48	0	237
81	0	238
52	3	236
6	3	235
140	3	237
28	1	234
79	1	230
75	3	236
5	1	230
28	2	231
22	3	235
21	0	233
49	1	236
13	3	238
74	1	233
21	0	237
74	1	237
24	2	231
15	3	229
14	1	229
156	3	236
31	1	236
3	1	229
30	3	230
5	3	234
25	2	235
55	3	238
39	1	234
2	2	235
48	0	236
164	3	238
29	3	235
24	2	232
56	1	231
147	3	236
117	2	237
37	3	235
32	1	231
21	3	231
73	0	230
46	1	230
148	3	234
66	3	231
47	0	234
0	3	231
151	3	231
28	2	233
34	1	231
93	1	231
4	1	230
15	2	231
25	3	238
28	2	237
30	0	237
32	1	232
1	1	230
24	2	237
124	1	230
91	1	230
42	0	238
27	3	229
107	0	238
2	3	238
112	3	236
96	3	231
167	1	234
73	1	232
86	0	234
3	1	236
75	1	229
151	3	232
93	1	232
110	2	235
136	3	238
1	3	234
91	3	234
67	1	231
3	2	231
47	2	238
56	1	233
63	2	235
33	3	238
8	3	235
3	0	234
38	3	235
17	2	238
150	2	238
32	1	233
116	2	237
32	1	237
21	3	237
66	3	233
28	2	236
58	2	237
30	0	236
31	1	230
73	1	233
151	1	229
163	1	235
100	3	238
107	3	237
151	3	233
15	2	233
3	2	232
34	1	237
84	2	231
93	1	237
15	2	237
6	2	230
17	3	235
27	1	235
62	3	238
110	3	238
89	2	234
163	3	234
196	1	235
96	3	237
27	3	236
50	3	238
28	1	238
21	1	235
82	3	235
150	0	237
196	3	236
76	0	234
148	2	235
47	3	234
132	1	231
24	1	238
81	1	231
157	2	238
21	3	236
3	2	233
67	1	233
107	1	235
67	1	237
3	2	237
26	2	234
29	2	234
39	2	235
37	2	234
76	1	231
193	3	234
5	3	238
119	3	236
107	3	236
175	3	236
34	1	236
93	1	236
187	1	236
51	1	229
32	0	238
29	1	236
188	3	238
14	1	230
66	1	234
185	3	231
81	1	232
12	3	235
43	1	230
3	1	230
4	2	235
110	0	235
76	1	232
133	1	235
1	2	235
59	1	237
47	0	238
151	0	234
76	2	233
131	1	231
90	1	237
76	2	237
67	1	236
3	2	236
15	1	238
13	3	232
68	1	229
28	0	236
46	3	238
81	1	233
6	0	234
81	1	237
94	1	230
21	2	229
5	0	235
36	3	235
8	2	234
115	3	238
76	1	233
141	0	234
0	2	229
27	0	231
83	1	229
81	0	237
76	1	237
75	2	237
44	1	231
183	3	238
25	3	231
1	3	238
173	1	232
185	3	237
27	3	230
39	0	236
150	3	237
133	2	233
0	1	229
69	3	237
2	3	231
148	0	235
90	1	236
76	2	236
198	3	237
27	0	232
44	1	232
60	3	234
71	1	231
131	1	233
25	3	232
131	1	237
7	1	229
22	2	238
29	1	230
76	1	236
96	1	229
17	2	231
107	0	232
56	3	235
47	1	235
145	3	235
163	3	238
32	3	235
150	1	235
106	3	234
27	0	233
137	3	234
44	1	233
185	3	236
44	1	237
73	3	235
66	2	236
150	3	236
76	0	238
25	3	233
151	2	236
14	2	235
133	3	230
171	3	231
29	2	238
62	3	231
110	3	231
13	1	234
107	0	233
2	3	233
37	2	238
20	3	234
2	3	237
63	3	231
18	1	237
66	1	238
168	3	238
70	1	232
61	1	234
62	3	232
41	1	235
17	2	233
7	1	236
19	2	238
17	2	237
131	0	235
51	1	230
85	3	237
28	1	232
7	0	236
64	3	237
118	3	230
9	1	231
6	0	238
170	1	235
25	1	234
5	3	232
62	3	233
110	3	233
8	2	238
18	1	236
110	3	237
59	3	235
13	2	237
63	3	237
2	1	234
78	1	230
88	1	230
178	1	230
6	3	229
9	1	232
157	2	233
85	3	236
23	3	234
48	1	230
22	3	229
81	3	235
148	3	232
47	0	232
5	3	233
78	3	234
4	3	231
33	1	234
178	3	234
32	2	234
25	2	229
152	3	237
1	3	231
103	3	236
73	2	234
20	2	235
0	1	230
13	2	236
4	0	238
63	3	236
40	3	236
29	3	229
20	1	238
4	3	232
47	0	233
109	3	237
171	1	234
23	0	238
110	1	234
34	3	238
7	1	230
1	3	232
91	3	232
131	3	235
39	3	237
6	1	235
22	2	231
46	3	233
58	1	229
101	3	235
50	1	234
50	2	231
12	2	238
173	3	235
6	3	236
89	2	231
13	1	238
87	3	236
7	3	234
186	0	237
65	3	229
4	3	233
141	3	236
51	2	235
4	3	237
11	2	238
80	0	238
79	1	234
5	1	234
84	1	232
67	3	238
47	3	231
1	3	233
22	2	232
121	3	236
91	3	233
1	3	237
91	3	237
55	1	238
25	2	236
19	3	237
163	3	232
26	1	235
164	1	238
205	2	235
18	3	234
169	2	234
