1006	66	1735	0
1006	75	1735	0
757	4	876	1
757	3	1399	1
2310	2	2102	2
2310	4	1936	2
920	66	1823	3
920	75	1823	3
2364	46	1232	4
2364	27	1232	4
45	75	1849	5
45	66	1849	5
714	64	107	5
714	78	107	5
714	103	107	5
714	75	107	5
714	31	107	6
714	27	107	6
45	27	1849	7
45	31	1849	7
45	27	1849	8
45	59	1849	8
14	4	876	9
895	2	395	10
895	3	2158	10
1357	75	1150	11
1357	81	1150	11
1357	66	1150	11
1357	27	1150	11
1357	46	1150	11
1357	82	1150	11
1006	59	1735	12
1006	79	1735	12
1006	27	1735	12
1006	82	1735	12
340	4	1936	13
827	4	1936	13
2214	59	1156	14
2214	81	1156	14
2214	75	1156	14
2214	82	1156	14
2214	27	1156	14
2214	66	1156	14
2214	31	1156	14
2130	46	1840	15
2130	27	1840	15
2130	64	1840	15
2130	103	1840	15
2130	75	1840	15
2130	43	1840	15
2130	78	1840	15
809	4	1936	16
809	3	1399	16
1349	4	1936	17
899	27	1229	18
899	75	1229	18
899	66	1229	18
899	31	1229	18
899	79	1229	18
899	59	1229	18
899	82	1229	18
423	84	1922	19
423	27	1922	19
552	103	1804	20
552	89	1804	20
552	103	1804	21
552	20	1804	21
552	76	1804	21
565	66	1858	22
565	75	1858	22
565	27	1858	23
565	59	1858	23
565	30	1858	23
565	31	1858	23
430	103	1928	24
430	19	1928	24
343	4	876	25
808	27	1875	26
808	46	1875	26
2308	74	1152	26
2308	75	1152	26
886	103	1488	27
886	32	1488	27
680	4	876	28
680	2	2102	28
1449	27	1120	29
1449	31	1120	29
1449	27	1120	30
1449	75	1120	30
1449	52	1120	30
1449	97	1120	30
1754	2	2102	31
40	4	876	32
1949	4	1936	32
1949	3	124	32
40	2	395	32
2323	4	876	32
212	75	1235	33
212	66	1235	33
1691	4	1936	34
2255	103	1225	35
2255	43	1225	35
2255	27	1225	35
2255	46	1225	35
2255	39	1225	35
2255	74	1225	35
2255	64	1225	35
2255	78	1225	35
2255	75	1225	35
2255	27	1225	36
2255	59	1864	36
2255	59	1225	36
2255	46	1864	36
2255	27	1864	36
2255	75	1864	36
2255	66	1864	36
2255	82	1864	36
870	27	151	37
870	59	151	37
870	46	151	37
870	82	151	37
870	103	151	38
870	14	151	38
870	27	151	39
870	31	151	39
870	78	151	40
870	64	151	40
870	75	151	40
870	103	151	40
870	27	151	40
870	43	151	40
459	20	1809	41
466	66	1853	41
466	56	1853	41
459	103	1809	41
466	46	1853	41
466	75	1853	41
466	59	1853	41
466	27	1853	41
212	27	1235	42
212	79	1235	42
212	82	1235	42
212	59	1235	42
274	68	1850	43
1416	27	1845	44
1416	82	1845	44
1416	75	1845	44
863	103	1931	44
863	40	1931	44
1416	79	1845	44
1416	46	1845	44
1416	59	1845	44
1416	66	1845	44
208	74	1924	45
208	75	1924	45
208	46	1924	45
208	27	1924	45
642	84	1842	46
642	27	1842	46
1091	103	944	47
1091	11	944	47
776	27	1803	48
776	75	1803	48
776	59	1803	48
776	31	1803	48
776	66	1803	48
776	82	1803	48
186	6	1550	49
2259	6	1549	49
472	6	637	49
472	6	1558	49
720	6	1549	49
1006	6	637	49
472	6	1550	49
2300	6	1549	49
186	6	637	49
1364	6	637	49
1364	6	1307	49
848	6	1726	49
848	6	1549	49
720	6	2232	49
720	6	2281	49
720	6	2273	49
720	6	2243	49
720	6	2040	49
720	6	473	49
720	6	1550	49
2059	6	1201	49
1006	6	1550	49
1006	6	1549	49
1364	6	1549	49
1364	6	1550	49
37	6	1549	49
1953	6	1584	49
1953	6	637	49
1953	6	1625	49
1953	6	1549	49
1443	6	1549	49
1443	6	1550	49
1443	6	637	49
2059	6	1550	49
2059	6	1549	49
722	6	1549	49
472	6	2136	49
472	6	1549	49
894	6	106	49
754	6	1550	49
754	6	1620	49
2028	6	1549	49
2028	6	637	49
2028	6	1550	49
458	6	1281	49
1361	6	637	49
1697	6	1549	49
458	6	1549	49
1361	6	1584	49
2381	6	1558	49
1697	6	1369	49
2381	6	1549	49
754	6	1549	49
860	6	1549	49
2028	6	1558	49
754	6	637	49
860	6	1544	49
781	6	1326	49
186	6	1549	49
1042	6	1550	49
1042	6	637	49
1042	6	1549	49
860	6	637	49
2373	6	637	49
2373	6	1557	49
322	6	637	49
468	6	1549	49
860	6	2230	49
860	6	1558	49
322	6	1550	49
322	6	1549	49
655	6	1558	49
468	6	637	49
1955	6	1549	49
890	6	1593	49
890	6	1549	49
890	6	1550	49
890	6	1396	49
468	6	1550	49
468	6	1558	49
890	6	637	49
2304	40	1157	50
2304	103	1157	50
497	82	1928	51
497	27	1928	51
2254	4	876	52
2254	3	2217	52
595	4	876	52
863	75	1931	53
863	74	1931	53
841	3	2158	54
1522	4	1936	54
841	4	1936	54
1522	3	2075	54
744	2	395	54
744	4	1936	54
2384	4	1936	55
863	46	1931	56
863	27	1931	56
863	64	1931	56
863	103	1931	56
863	75	1931	56
863	78	1931	56
274	74	1859	57
274	75	1859	57
1167	64	1807	58
1167	103	1807	58
303	4	1936	59
2304	21	1157	60
2304	82	1157	60
2304	59	1157	60
2304	46	1157	60
2304	74	1157	60
2304	75	1157	60
2304	31	1157	60
2304	27	1157	60
1658	82	1873	61
1658	27	1873	61
2304	31	1703	62
2304	75	1703	62
2304	82	1703	62
2304	46	1703	62
2304	27	1703	62
2304	56	1703	62
2304	59	1703	62
2304	66	1703	62
274	27	1859	63
274	75	1859	63
274	59	1859	63
274	64	1859	63
386	75	1875	63
386	74	1875	63
274	46	1859	63
274	43	1859	63
274	78	1859	63
274	103	1859	63
562	59	1725	64
562	27	1725	64
562	56	1725	64
562	46	1725	64
1323	2	2102	65
2326	3	2075	66
429	74	1930	67
429	75	1930	67
537	4	1936	68
2270	4	1936	68
790	3	2158	69
790	4	1936	69
1087	68	1899	70
533	4	876	71
424	16	1823	72
424	72	1823	72
424	76	1823	72
424	103	1823	72
1449	46	1120	73
1449	96	1120	73
1449	27	1120	73
2366	4	876	74
1264	3	931	74
1264	4	876	74
858	4	876	75
858	2	2102	75
1267	103	1809	76
1267	89	1809	76
334	75	1802	77
334	31	1802	77
334	82	1802	77
334	27	1802	77
334	66	1802	77
334	59	1802	77
750	59	1223	78
750	46	1223	78
750	64	1223	78
750	74	1223	78
750	78	1223	78
750	75	1223	78
750	82	1223	78
750	103	1223	78
750	27	1223	78
750	45	1223	78
740	75	1894	79
740	74	1894	79
2231	19	1122	80
2231	103	1122	80
2231	76	1122	80
1037	3	2158	81
2257	68	1915	82
1286	4	876	83
1946	4	1936	84
1946	3	1399	84
345	3	2089	85
915	4	876	86
915	3	1278	86
1772	74	1829	87
1772	75	1829	87
552	4	876	88
1067	31	907	89
1067	27	907	89
1067	66	907	89
1067	75	907	89
1067	82	907	89
1067	28	907	89
1067	59	907	89
1067	46	907	89
1762	2	395	90
1762	4	1936	90
920	59	1823	91
920	46	1823	91
920	27	1823	91
588	59	1853	92
836	27	1845	92
588	27	1853	92
588	58	1853	92
1358	59	1811	92
1358	27	1811	92
836	82	1845	92
836	79	1845	92
588	46	1853	92
836	75	1845	92
1358	82	1811	92
836	31	1845	92
836	66	1845	92
836	59	1845	92
1449	103	1120	93
1449	86	1120	93
2258	75	946	94
2258	27	946	94
2258	82	946	94
2258	66	946	94
2258	46	946	94
2258	74	1888	94
2258	79	946	94
2258	75	1888	94
2258	31	946	94
538	3	1115	95
538	2	395	95
1767	3	2089	95
538	4	876	95
351	4	876	96
351	2	2102	96
623	52	1912	97
623	75	1912	97
623	55	1912	98
623	42	1912	98
623	27	1912	98
636	91	1834	99
636	75	1834	99
491	3	445	100
700	59	1493	101
700	27	1493	101
700	75	1493	101
700	66	1493	101
700	31	1493	101
700	82	1493	101
700	30	1493	101
2377	4	1936	102
520	75	1871	103
520	74	1871	103
798	78	939	104
798	103	939	104
798	82	939	104
798	64	939	104
798	59	939	104
798	75	939	104
798	45	939	104
798	27	939	104
1079	68	1815	105
411	74	1916	106
411	75	1916	106
1086	82	1896	107
1086	27	1896	107
1086	75	1896	107
1086	66	1896	107
1086	28	1896	107
1086	31	1896	107
2398	4	876	108
411	31	1916	109
411	27	1916	109
1091	76	944	110
1091	103	944	110
2028	3	2217	111
696	75	1904	112
805	27	556	112
805	28	556	112
696	66	1904	112
805	82	556	112
805	31	556	112
805	75	556	112
805	66	556	112
1044	75	911	113
1044	66	911	113
1955	3	445	114
1955	4	1936	114
211	74	1906	115
211	75	1906	115
674	27	1854	116
674	56	1854	116
674	78	1854	117
674	24	1854	117
674	52	1854	117
674	27	1854	117
674	59	1854	117
674	103	1854	117
674	64	1854	117
674	75	1854	117
674	23	1854	117
1695	6	1549	118
457	6	2284	118
457	6	2236	118
651	6	2281	118
651	6	2243	118
651	6	1550	118
651	6	473	118
651	6	1549	118
651	6	2273	118
651	6	2232	118
1495	6	1549	118
2019	6	637	118
2019	6	1617	118
2019	6	1549	118
160	6	2273	118
501	6	1550	118
501	6	2273	118
1695	6	1134	118
1734	6	1549	118
1734	6	637	118
1379	6	1550	118
1085	6	473	118
1085	6	2273	118
1105	6	2273	118
1105	6	2281	118
1105	6	2178	118
1105	6	1542	118
1105	6	473	118
1105	6	2232	118
1105	6	1549	118
597	6	1549	118
501	6	2232	118
801	6	1545	118
801	6	1653	118
801	6	1549	118
801	6	1558	118
801	6	1651	118
1495	6	473	118
1495	6	2232	118
1495	6	2273	118
1495	6	1652	118
1495	6	837	118
519	6	1549	118
519	6	1651	118
210	6	1549	118
210	6	2273	118
210	6	1550	118
210	6	2232	118
210	6	2281	118
210	6	1545	118
1304	6	637	118
1314	6	1549	118
160	6	2281	118
160	6	2232	118
160	6	1549	118
160	6	1550	118
36	6	1558	118
36	6	637	118
1080	6	1549	118
0	6	2273	118
0	6	2232	118
890	6	1550	118
890	6	637	118
468	6	1558	118
468	6	637	118
468	6	1549	118
881	6	1651	118
1955	6	1544	118
1955	6	2281	118
1955	6	1549	118
1955	6	1550	118
890	6	1396	118
501	6	1277	118
501	6	2281	118
54	6	1550	118
54	6	1549	118
669	6	1549	118
1314	6	637	118
1314	6	1601	118
1304	6	1558	118
1099	6	1795	118
519	6	1558	118
44	6	637	118
44	6	1549	118
44	6	1550	118
2303	6	126	118
2303	6	637	118
2303	6	133	118
847	6	1549	118
847	6	1558	118
847	6	1550	118
1942	6	2168	118
1942	6	1549	118
164	6	1549	118
1409	6	2120	118
1409	6	1549	118
847	6	637	118
847	6	1545	118
582	6	954	118
1409	6	1550	118
2360	6	637	118
2360	6	132	118
2360	6	1549	118
1087	6	1550	118
1354	6	2187	118
1354	6	1544	118
1946	6	1549	118
1946	6	637	118
2270	6	1544	118
890	6	1549	118
683	6	1549	118
683	6	637	118
683	6	1740	118
0	6	1664	118
0	6	473	118
0	6	2243	118
93	6	2232	118
93	6	1549	118
93	6	2243	118
93	6	1544	118
1080	6	637	118
1080	6	1550	118
1354	6	2273	118
1354	6	2163	118
1354	6	2232	118
1354	6	2281	118
796	6	1545	118
796	6	637	118
506	6	637	118
1942	6	2170	118
227	6	637	118
227	6	1549	118
1354	6	2162	118
1354	6	2005	118
1354	6	1549	118
1087	6	1652	118
1087	6	2102	118
971	6	1550	118
971	6	637	118
971	6	2085	118
971	6	1549	118
926	6	1549	118
926	6	1558	118
926	6	637	118
684	6	2232	118
684	6	1550	118
684	6	2243	118
684	6	1549	118
1766	6	1795	118
457	6	1549	118
457	6	2247	118
457	6	2276	118
155	6	2163	118
155	6	2162	118
155	6	1545	118
155	6	1558	118
410	6	2080	118
410	6	1549	118
752	6	2232	118
752	6	2281	118
752	6	1549	118
85	6	2102	118
0	6	2281	118
790	6	1550	118
1738	6	637	118
468	6	1550	118
1119	6	1549	118
846	6	637	118
846	6	1558	118
1526	6	1549	118
780	6	1549	118
1738	6	1558	118
790	6	1549	118
761	6	1549	118
1482	6	637	118
1189	6	1558	118
1189	6	1549	118
1308	6	1549	118
1308	6	637	118
1308	6	1114	118
1308	6	1550	118
51	6	637	118
51	6	1549	118
227	6	1550	118
2353	6	1558	118
2353	6	1550	118
367	6	1649	118
367	6	1550	118
419	6	637	118
430	6	1338	118
184	6	1549	118
2331	6	1558	118
2331	6	637	118
2331	6	1549	118
2353	6	1549	118
761	6	473	118
761	6	2232	118
761	6	2281	118
761	6	2273	118
761	6	2243	118
425	6	1558	118
430	6	1596	118
430	6	1274	118
1517	6	1184	118
1517	6	1549	118
2117	6	473	118
2117	6	2243	118
2117	6	2281	118
2117	6	1061	118
2117	6	2232	118
367	6	1549	118
326	6	1549	118
8	6	1544	118
8	6	983	118
8	6	2102	118
2353	6	637	118
398	6	1550	118
398	6	1549	118
398	6	405	118
92	6	1550	118
92	6	2243	118
92	6	2273	118
92	6	1549	118
92	6	2232	118
2252	6	405	118
2252	6	1549	118
2252	6	1544	118
2252	6	1550	118
2117	6	2273	118
425	6	1549	118
425	6	1651	118
628	6	637	118
2134	6	1550	118
2134	6	2232	118
2134	6	2273	118
2134	6	1544	118
2134	6	1549	118
842	6	1545	118
842	6	1558	118
842	6	1549	118
842	6	1651	118
842	6	1653	118
601	6	1558	118
412	6	1558	118
1732	6	1566	118
1732	6	1796	118
1732	6	1549	118
628	6	1549	118
482	6	1545	118
482	6	473	118
482	6	2273	118
482	6	1558	118
482	6	2232	118
482	6	605	118
482	6	2094	118
2384	6	473	118
2384	6	2273	118
2384	6	2232	118
2384	6	2281	118
2270	6	1550	118
2270	6	1549	118
790	6	637	118
875	6	637	118
875	6	1565	118
875	6	1549	118
780	6	473	118
780	6	2281	118
780	6	1550	118
780	6	2273	118
822	6	1549	118
752	6	1550	118
628	6	1196	118
628	6	1550	118
628	6	1558	118
2347	6	2232	118
2347	6	2243	118
2347	6	2011	118
393	6	1776	118
393	6	1549	118
393	6	1545	118
393	6	1558	118
393	6	637	118
393	6	1550	118
393	6	1795	118
393	6	1777	118
1073	6	1558	118
1073	6	637	118
1073	6	1550	118
2109	6	1666	118
