1632	4	2306
1632	5	279
83	4	1367
83	5	279
1570	4	2306
1570	5	279
94	4	1657
94	5	279
958	4	1306
958	5	279
209	4	1881
209	5	279
112	4	2116
112	5	279
58	4	1003
58	5	279
1260	4	2306
1260	5	279
263	4	2006
263	5	279
352	4	379
352	5	279
218	4	1846
218	5	279
1866	4	595
1866	5	279
62	4	1602
62	5	279
2271	4	795
2271	5	279
849	4	592
849	5	279
1198	4	592
1198	5	279
941	4	2482
941	5	279
51	4	593
51	5	279
2274	4	379
2274	5	279
832	4	1854
832	5	279
2151	4	1865
2151	5	279
2320	4	615
2320	5	279
376	4	284
376	5	279
2427	4	795
2427	5	279
269	4	2006
269	5	279
1572	4	1865
1572	5	279
992	4	1865
992	5	279
260	4	2482
260	5	279
1540	4	2482
1540	5	279
318	4	284
318	5	279
2004	4	2006
2004	5	279
2319	4	1573
2319	5	279
864	4	2298
864	5	279
2407	4	1854
2407	5	279
214	4	1693
214	5	279
149	4	1913
149	5	279
807	4	1854
807	5	279
403	4	2306
403	5	279
607	4	2306
607	5	279
233	4	1042
233	5	279
828	4	2116
828	5	279
2403	4	1693
2403	5	279
437	4	2306
437	5	279
174	4	354
174	5	279
293	4	2306
293	5	279
129	4	1042
129	5	279
1001	4	2306
1001	5	279
238	4	2304
238	5	279
152	4	354
152	5	279
130	4	354
130	5	279
2312	4	1602
2312	5	279
2228	4	2306
2228	5	279
180	4	1042
180	5	279
206	4	1846
206	5	279
127	4	2216
127	5	279
297	4	2298
297	5	279
210	4	1882
210	5	279
125	4	1298
125	5	279
261	4	1693
261	5	279
1933	4	2303
1933	5	279
272	4	1575
272	5	279
202	4	1282
202	5	279
241	4	2306
241	5	279
116	4	2306
116	5	279
2032	4	592
2032	5	279
2140	4	615
2140	5	279
370	4	615
370	5	279
1677	4	615
1677	5	1898
255	4	615
255	5	1898
323	4	2218
323	5	1898
1634	4	615
1634	5	1898
2276	4	2210
2276	5	1898
1522	4	96
1522	5	1898
969	4	615
969	5	1898
628	4	615
628	5	1898
865	4	1854
865	5	1898
881	4	1850
881	5	1898
270	4	615
270	5	1898
