1260	4	151
1260	4	57
1260	4	75
1260	4	130
1260	4	68
1260	4	271
1260	4	193
1260	4	240
1260	4	269
1260	4	196
1260	4	26
1260	4	234
1260	4	157
1260	4	109
1260	4	150
1260	4	267
1260	4	210
1260	4	241
1260	4	70
1260	4	71
1260	4	49
1260	4	13
1260	4	63
1260	4	235
1260	4	67
1260	4	120
1260	4	218
1260	4	64
1260	4	58
1260	4	66
1260	4	254
1260	4	228
1260	4	3
1260	4	261
1260	4	252
1260	4	7
1260	4	119
1260	4	48
1260	4	30
1260	4	74
1260	4	255
1001	4	228
1001	4	210
1001	4	82
1001	4	263
1001	4	3
1001	4	30
1001	4	269
1001	4	18
1001	4	194
1001	4	157
1001	4	152
1001	4	39
1001	4	120
1001	4	25
1001	4	195
1001	4	266
1001	4	259
1001	4	67
1001	4	66
1001	4	119
1001	4	254
1001	4	261
1001	4	262
1001	4	156
1001	4	124
1001	4	252
1001	4	130
1001	4	218
1001	4	123
1001	4	70
1001	4	81
1001	4	271
1001	4	68
1001	4	267
1001	4	11
1001	4	71
1001	4	6
1001	4	13
1001	4	260
437	4	218
437	4	200
437	4	30
437	4	271
437	4	74
437	4	120
437	4	268
437	4	11
437	4	152
437	4	261
437	4	130
437	4	66
437	4	18
437	4	267
437	4	71
437	4	193
437	4	25
437	4	270
437	4	263
437	4	48
437	4	67
437	4	49
437	4	55
437	4	254
437	4	52
437	4	252
437	4	54
437	4	6
437	4	157
437	4	260
437	4	195
437	4	53
437	4	269
437	4	70
437	4	233
437	4	3
437	4	228
437	4	13
437	4	119
437	4	75
403	4	193
403	4	75
403	4	196
403	4	130
403	4	253
403	4	155
403	4	3
403	4	30
403	4	77
403	4	119
403	4	13
403	4	60
403	4	210
403	4	228
403	4	252
403	4	68
403	4	120
403	4	25
403	4	61
403	4	6
403	4	49
403	4	71
403	4	157
403	4	261
403	4	66
403	4	48
403	4	109
403	4	74
403	4	263
403	4	255
403	4	267
403	4	152
403	4	67
403	4	18
403	4	218
403	4	260
403	4	70
403	4	269
403	4	78
403	4	56
403	4	271
1632	4	40
1632	4	13
1632	4	11
1632	4	267
1632	4	210
1632	4	131
1632	4	228
1632	4	68
1632	4	70
1632	4	260
1632	4	120
1632	4	63
1632	4	48
1632	4	253
1632	4	3
1632	4	193
1632	4	74
1632	4	26
1632	4	265
1632	4	196
1632	4	264
1632	4	261
1632	4	252
1632	4	119
1632	4	57
